G2 | Which courses include SAS in the curriculum? | The courses that include SAS are STAT 330, STAT 440, STAT 441. | “”
G2 | How many units are required for the [Degree]? | The number of units required for the  [Degree] is [Units]. | select TOTALUNITS from [Degree] where COURSETYPE = ‘TOTAL UNITS’;
G2 | What are the [Coursetype] courses needed for [Degree]? | The [Coursetype] courses needed for [Degree] are [List of Course]. | select SUBJ, ID from COURSES where [Degree] like ‘%[Coursetype]%’;
G2 | Is [Course] a [Coursetype] course for the [Degree]? | Yes, [Course] is a [Coursetype] course for [Degree]. | select * from COURSES where [Degree] like ‘%[Coursetype]%’;
G2 | What are the non-STAT classes that I need to choose from for my elective credits? | The non-STAT classes that you need to choose from are [List of Course]. | select SUBJ, ID from COURSES where MAJOR like ‘%ELECTIVE%’ and SUBJ not like ‘%STAT%’;
G2 | Are there [Subject] classes that I can take for [Coursetype] credit in [Degree]? | Yes, you can take [Subject] classes for [Coursetype]. They are: [List of Course] | select SUBJ, ID from COURSES where [DEGREE] like ‘%[Coursetype]%’ and SUBJ like ‘%[Subject]%’;
G2 | Are there [Coursetype] courses available from departments outside of [Subject] in [Degree]? | Yes, there are [Coursetype] courses available from departments outside of [Subject]. Choose from these classes: [List of Course]. | select SUBJ, ID from COURSES where [Degree] like %[Coursetype]% and SUBJ not like [Subject];
G2 | What departments are all the possible [Coursetype] classes from? | The different departments that the [Coursetype] classes are from are STAT, DATA, CSC, IME, ITP, and MATH. | “”
G2 | What course levels are the possible [Subject] [Coursetype] classes that I can take? | The possible [Subject] [Coursetype] classes are [List of Course level]. |
G2 | How many [Course level] courses are required in [Degree]? | The number of [Course level] level courses required in [Degree] is [Num]. | select * from COURSES where ID >= [Course level] and ID <= [Courselevel] + 100 and [Degree] is not null;
G2 | Who should I contact if I have questions about the certificate program? | The professors you ought to contact are Hunter Glanz or Rebecca Ottesen. Their corresponding contact information is hglanz@calpoly.edu and rottesen@calpoly.edu. | “”
G2 | To which professors can I ask questions related to the certificate program? | You should contact either Hunter Glanz or Rebecca Ottesen. Their corresponding contact information is hglanz@calpoly.edu and rottesen@calpoly.edu. | “”
G2 | Which GE Areas are required for the major? | The GE Areas required are A, B, C, D, and E. | “”
G2 | Do I need GE Area [GE Area]? | Yes, GE Area [GE Area] is needed. | “”
