questionFormat,answerFormat
What is [COURSE] about?,[COURSE] is about [COURSE_DESCRIPTION]
What are the prereqs for [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].
Which courses are required to be taken before [COURSE]?,The prereqs for [COURSE] are: [COURSE_LIST].
What courses have [COURSE] as a prereq?,The following courses have [COURSE] as a prereq: [COURSE_LIST].
Which majors require [COURSE]?,[MAJOR_LIST] all require [COURSE]
Which majors avoid [COURSE]?,[MAJOR_LIST] all do not require [COURSE]
What are the sections times for [COURSE] next quarter?,There are [NUM_SECTIONS] sections [COURSE] next quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...
What are the sections times for [COURSE] this quarter?,There are [NUM_SECTIONS] sections for [COURSE] this quarter where the section tims are the following: [SECTION-NUMBER] [DAY] [TIME]...
How many sections of [COURSE] are being offered this quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered this quarter.
How many sections of [COURSE] are being offered next quarter?,There are [NUM_SECTIONS] sections of [COURSE] being offered next quarter.
How many units does [COURSE] count towards?,[COURSE] counts as [NUMERIC] units.
When is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].
During what quarters is [COURSE] typically offered?,[COURSE] is typically offered during [QUARTER_LIST].
Is [COURSE] going to be offered next quarter?,Y/N: [COURSE] is (not) going to be offered next quarter.
Is tutuoring offered for [COURSE],"Y/N: Tutoring is offered for [COURSE],    (if yes) Here is the tutoring schedule [TUTORING_SCHED]"
Is there any information on [COURSE]?,Sure! Here's some more information on [COURSE]. [COURSE_DESCRIPTION]
Is [COURSE] currently offered?,Y/N: [COURSE] is currently (not) being taught this quarter.
Is [COURSE] a 4 unit class?,Y/N: [COURSE] is a [NUM_UNITS] unit class
Does [COURSE] have any prerequisites?,"Y, the prerequisites for [COURSE] are [PREREQ] or N, this course doesn't have any prerequisites"
What terms is [COURSE] typically offered?,[CLASS_NAME] is offered in [QUARTER_LIST].
What terms is [COURSE] typically offered?,[CLASS_CODE] is offered in [QUARTER_LIST].
Which terms is [COURSE] offered?,[CLASS_NAME] is offered in [QUARTER_LIST].
Which terms is [COURSE] offered?,[CLASS_CODE] is offered in [QUARTER_LIST].
Does [COURSE] require consent of instructor?,"Yes, [CLASS_NAME] requires consent of instructor."
Does [COURSE] require consent of instructor?,"Yes, [CLASS_CODE] requires consent of instructor."
Can I get into [COURSE] with instructor's consent?,"Yes, [CLASS_NAME] can be taken with instructors consent."
Can I get into [COURSE] with instructor's consent?,"Yes, [CLASS_CODE] can be taken with instructors consent."
What are the prerequisites for [COURSE]?,The prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
What are the prerequisites for [COURSE]?,The prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].
What classes do I have to take before [COURSE]?,The prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
What classes do I have to take before [COURSE]?,The prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].
What are the recommended prerequisites for [COURSE]?,The recommended prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
What are the recommended prerequisites for [COURSE]?,The recommended prerequisites for [CLASS_CODE] are [CLASS_CODE_LIST].
What classes do I need in order to take [COURSE]?,The recursive prerequisites for [CLASS_NAME] are [CLASS_CODE_LIST].
Which classes have [COURSE] as a prerequisite?,[CLASS_CODE_LIST] have [CLASS_NAME] as a prerequisite.
Which classes have [COURSE] as a prerequisite?,[CLASS_CODE_LIST] have [CLASS_CODE] as a prerequisite.
Does [COURSE] have an upper divisional prerequisite?,"Yes, [CLASS_NAME] has an upper divisional prerequisite."
Does [COURSE] have an upper divisional prerequisite?,"Yes, [CLASS_CODE] has an upper divisional prerequisite."
